id,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
0,34291,24,1,0,47,35693,2,1,2000,0,1,8,5196,369,0,3,3436795.2
1,95145,60,0,1,60,34773,1,4,2000,0,1,729,4496,277,0,6,9519958.0
2,92661,45,1,1,62,45457,4,8,2020,1,1,7473,8953,245,1,9,9276448.1
3,97184,99,0,0,59,15113,1,1,2000,0,1,6424,8522,256,1,9,9725732.2
4,61752,100,0,0,57,64245,8,4,2018,1,0,7151,2786,863,0,7,6181908.8
5,30300,36,0,0,35,19069,8,4,1998,1,0,8181,1826,589,0,0,3033117.8
6,19341,95,1,0,37,23939,9,6,2017,0,0,7173,9233,101,0,3,1944096.7
7,58110,3,1,0,1,67658,8,4,2003,1,0,3164,3389,499,1,5,5814953.3
8,20537,84,0,1,44,9560,3,10,1994,0,0,5026,7669,191,0,9,2056267.4
9,89396,35,1,1,96,33928,6,7,1993,0,0,7936,2956,414,0,1,8949480.3
10,54369,22,0,1,60,54900,3,7,2018,0,1,5784,6333,469,0,6,5449838.8
11,6492,86,0,0,55,89581,4,6,2018,0,0,871,829,414,0,8,652565.8
12,75124,49,0,0,25,32634,4,2,2009,0,0,2566,5625,325,0,2,7513990.9
13,4596,41,0,0,95,46030,4,5,2014,0,0,4482,7889,269,0,7,465858.4
14,66391,84,0,1,68,54971,8,10,2014,1,1,4973,1227,661,0,2,6650282.4
15,31786,81,0,1,89,4236,10,5,2000,0,0,4910,7143,435,1,4,3184469.0
16,41759,26,0,1,45,80383,1,8,2011,0,0,874,7226,576,0,3,4185921.1
17,202,80,0,1,69,11215,4,8,1996,0,1,8776,879,975,1,6,28295.6
18,36428,76,1,0,51,72385,3,7,2018,1,1,8751,6606,404,0,8,3649020.8
19,54473,13,1,0,80,48912,3,6,2015,0,0,9819,4766,738,0,9,5452279.5
20,29271,46,0,0,12,79661,8,1,2000,1,1,4343,3735,414,0,3,2938810.1
21,73212,86,1,0,43,77004,8,3,2003,0,0,4118,9679,137,0,8,7326285.3
22,40812,12,0,1,52,58065,8,8,2018,1,0,5153,9172,127,1,4,4088680.8
23,46903,78,0,0,38,97998,1,10,2018,0,1,9629,7898,470,1,5,4693749.8
24,92151,37,1,0,79,6837,6,8,2014,1,0,2800,9063,655,1,1,9228543.4
25,74409,74,1,1,50,84602,6,8,2004,0,0,1830,9458,977,0,6,7452174.4
26,85795,79,0,0,59,54730,1,2,2019,0,1,8138,5435,278,0,5,8585311.9
27,93351,26,1,0,33,90465,5,8,1994,0,1,6293,998,186,1,0,9338401.4
28,37781,99,1,0,79,93052,6,7,2000,1,1,1383,5317,982,0,4,3781636.0
29,60250,15,0,1,70,49495,5,8,2019,0,1,96,7038,209,1,1,6031090.9
30,47061,85,0,1,66,78155,8,8,2018,1,1,4010,7554,127,0,8,4713648.8
31,39132,99,0,1,86,41445,2,4,2008,0,0,7951,8751,138,0,10,3920808.8
32,43252,6,0,0,79,42438,3,1,2020,0,0,7932,331,335,0,4,4326741.0
33,95273,19,1,1,39,22419,4,9,1994,0,0,2526,1221,350,1,8,9537187.4
34,202,84,0,1,80,40312,7,7,1996,1,1,3648,8794,106,1,8,28295.6
35,11987,28,1,0,38,34837,8,5,2018,0,1,8115,5573,846,0,7,1203183.8
36,83377,30,0,0,55,61747,9,6,2003,1,1,473,6469,533,1,8,8342685.3
37,36268,98,1,1,37,86710,6,10,1993,1,1,773,867,313,1,6,3631024.3
38,63693,32,0,0,16,12152,4,5,2005,0,0,7470,7360,546,1,10,6375077.5
39,6363,96,1,0,49,12735,10,2,2003,1,0,1273,1373,127,0,6,643101.3
40,94951,8,0,1,35,5308,4,8,2014,1,1,7159,4331,396,0,6,9498811.4
41,37853,34,0,1,75,34795,6,8,2019,0,0,4876,6597,332,1,5,3792902.9
42,35585,80,0,0,17,35661,2,9,2008,1,1,8583,3861,693,0,4,3561895.8
43,51827,76,0,1,55,69500,10,3,2007,0,1,7058,9691,731,0,6,5192441.7
44,75177,49,0,0,40,73565,7,10,2016,1,1,8798,3233,108,0,3,7519416.1
45,13312,35,0,1,70,51336,3,1,2005,0,0,9173,7842,707,0,6,1343890.5
46,196,86,1,1,8,68109,2,7,2014,0,0,3249,6651,876,0,10,23818.4
47,29444,26,0,0,36,13252,8,7,2008,0,1,8178,898,494,1,3,2947292.8
48,57801,78,1,0,26,77899,5,7,2019,1,1,4303,7384,523,1,1,5787838.9
49,42674,26,0,1,54,77146,1,3,2014,1,0,7836,286,181,0,8,4269275.4
50,33974,35,1,0,17,75041,2,9,1996,0,0,438,9969,962,1,7,3403907.6
51,46899,26,1,1,40,61968,4,9,1996,1,0,8785,2111,513,0,4,4698499.6
52,75898,98,0,0,63,73961,3,4,2000,1,1,6697,7699,127,0,8,7592058.0
53,42904,20,0,0,62,84310,2,5,2005,1,1,8801,9579,768,0,2,4302680.5
54,23210,4,0,1,85,75726,10,6,2014,0,0,4173,9902,802,1,4,2321968.4
55,1008,6,1,0,26,60193,2,8,2005,0,1,7330,3082,476,0,6,102749.5
56,24937,73,0,1,14,65569,5,8,2009,1,0,749,2441,474,0,8,2498730.9
57,77100,48,1,0,83,36356,4,8,2004,1,0,485,906,309,0,8,7719293.4
58,10082,2,0,1,35,25563,1,2,2008,1,1,3658,6288,543,0,1,1016018.8
59,78977,84,1,0,48,92517,4,3,2004,0,0,7043,2626,928,1,8,7906006.4
60,81582,58,0,1,35,89634,9,1,2009,0,0,3775,949,942,0,2,8166678.9
61,8028,42,0,0,35,22030,2,4,1994,0,0,3714,1459,607,1,7,804141.4
62,51036,59,0,0,100,98833,5,9,1998,1,1,5990,4930,527,0,4,5105099.8
63,211,4,1,0,41,38322,6,1,2009,0,1,7253,9238,248,0,9,24058.9
64,86383,99,1,0,7,35595,9,8,2000,1,0,4136,9057,857,1,7,8648031.0
65,26853,39,0,0,56,39642,7,8,2005,0,0,4749,3969,930,0,7,2689625.5
66,13591,41,1,0,37,62003,10,6,2000,0,0,461,117,622,0,8,1367021.0
67,36295,69,1,1,9,33938,5,9,2000,1,1,7547,4090,694,0,0,3634512.0
68,56348,73,0,1,25,97706,5,5,1993,1,1,9495,5070,104,0,10,5645570.3
69,23127,75,1,0,69,84533,9,5,1995,0,0,759,3842,120,1,1,2327821.5
70,89396,62,1,1,97,33928,8,7,1993,1,1,6698,4944,624,1,6,8949480.3
71,37781,98,1,0,84,91317,6,9,2000,1,1,7571,228,469,0,8,3781636.0
72,47523,89,1,0,50,48868,3,3,2006,0,1,7233,3283,641,0,8,4760526.6
73,24916,48,1,1,55,16416,5,10,2020,1,0,6972,8714,443,1,3,2496771.0
74,64717,12,1,0,37,8289,5,7,2008,1,1,7949,7310,227,0,9,6484598.8
75,1260,21,1,1,31,89757,7,4,2016,0,0,1586,7304,977,0,6,131538.6
76,85576,58,1,0,16,96843,10,1,1998,1,1,3473,8177,438,0,8,8558422.8
77,12101,9,1,0,80,76782,5,5,1996,0,0,7770,5077,443,0,6,1215445.6
78,83316,85,0,0,59,48945,9,4,2019,0,1,1335,8122,783,0,8,8336816.9
79,33532,84,0,1,79,84138,7,4,2000,0,0,8444,7497,308,1,10,3362452.1
80,53859,29,1,1,28,79559,4,8,2007,0,0,1272,8710,117,1,7,5391993.7
81,61647,45,0,0,8,24345,10,2,2019,1,0,6492,6115,572,1,6,6172515.9
82,1344,86,0,0,2,87526,1,7,2016,0,1,3191,4952,682,1,1,135751.6
83,65830,62,1,0,3,68015,5,4,2017,0,0,5359,8693,602,1,2,6587835.7
84,7608,58,0,0,18,26761,6,4,2014,0,0,8175,7146,491,0,8,768431.4
85,69133,88,1,0,88,49199,2,8,2000,1,0,4633,2454,223,1,1,6922630.2
86,15859,94,1,0,8,34493,1,7,2020,0,0,5335,9164,314,0,9,1588729.0
87,56065,4,1,1,25,23008,3,3,2018,0,0,3397,3245,647,0,8,5614119.8
88,6313,38,0,0,26,29953,1,2,2004,1,1,1551,7736,824,1,7,640633.4
89,20282,26,1,0,85,83552,10,5,2000,1,0,873,7698,154,0,5,2029680.1
90,9889,86,1,1,85,50147,8,2,2003,1,1,8955,575,918,0,5,996563.3
91,28045,70,0,1,75,82201,3,1,1995,1,1,1533,8269,245,1,3,2815267.5
92,32024,71,0,1,8,11239,1,1,2015,0,0,7370,1628,924,0,2,3203508.5
93,6465,11,1,0,79,21297,5,5,2020,0,0,711,717,833,0,7,645862.1
94,41565,46,1,1,64,6252,8,3,2020,1,0,8179,4148,711,1,10,4164038.1
95,58332,55,1,0,97,11227,4,4,2006,0,0,4593,8727,696,1,7,5848290.6
96,6708,25,0,1,80,22176,4,4,2000,1,0,5643,7146,278,1,5,674285.1
97,3990,32,1,1,50,83668,4,5,1996,0,1,3707,9351,805,0,5,404538.6
98,81967,35,0,1,42,6094,1,3,2003,0,0,9473,9696,354,1,1,8208953.3
99,79950,38,1,1,25,7628,2,7,1997,0,1,4398,2650,569,1,0,7997513.7
100,35634,99,1,1,56,426,7,8,1998,0,0,7089,9651,418,0,2,3568972.8
101,32037,86,1,0,60,22629,4,7,2013,0,1,7611,4823,877,1,3,3206943.3
102,45893,3,0,1,83,34571,5,5,2017,1,1,7620,1089,621,1,7,4596499.7
103,65896,35,0,1,48,69039,10,5,1994,1,1,2808,3361,242,0,8,6601450.4
104,48678,50,1,1,84,17276,10,7,1998,0,1,823,7965,619,0,1,4877324.8
105,90338,8,0,1,86,28897,6,7,2005,1,1,1631,7251,226,0,8,9040287.5
106,20862,26,1,1,67,6559,3,5,2007,0,0,7148,7356,156,1,3,2098549.7
107,29526,52,1,1,6,28290,9,5,2000,0,0,626,7882,867,1,9,2960766.0
108,94716,17,1,0,77,32609,8,1,2009,0,1,7001,3735,498,0,8,9479703.9
109,47618,56,0,0,98,7773,6,8,1996,1,0,6279,8714,123,1,0,4765943.6
110,35307,48,0,0,12,22460,8,1,2000,1,1,5359,8691,444,0,8,3534202.0
111,16631,86,1,1,60,81916,9,4,1993,1,0,7733,9089,833,1,8,1667835.3
112,79401,35,1,0,82,54582,9,2,1996,1,1,7053,9173,217,0,9,7941702.6
113,44913,11,0,0,35,21225,3,4,2005,0,0,2929,3690,669,0,8,4493550.5
114,54706,25,1,0,50,68626,7,10,2021,1,1,8575,9712,144,0,8,5476681.1
115,35585,99,0,1,80,22394,3,6,2008,0,1,9879,3535,625,0,10,3561895.8
116,32176,26,0,0,25,22449,6,1,1999,1,0,8308,1903,628,0,3,3220156.9
117,65560,77,1,0,14,30442,5,10,2003,0,1,3535,9458,936,0,3,6563603.3
118,29888,87,1,0,24,9262,2,10,1994,1,0,9552,4926,116,1,2,2993396.4
119,56093,16,0,1,20,694,6,8,2015,1,1,815,4583,114,0,3,5612610.5
120,98025,58,1,0,45,3769,9,4,2005,1,1,2504,5034,141,1,8,9813291.5
121,58914,64,0,1,37,23712,3,5,2017,0,1,5629,8798,811,1,8,5899786.7
122,51482,55,1,1,34,56189,9,8,2004,1,1,9253,3923,828,0,6,5153610.4
123,75680,44,1,0,35,64361,2,3,2009,0,1,7448,1667,601,0,5,7572315.9
124,816,7,1,0,38,10486,4,4,2003,0,0,6738,4203,918,0,7,87585.3
125,5630,22,0,1,86,64761,2,3,2013,0,0,9426,8809,869,1,8,574843.3
126,77158,54,0,1,38,7935,8,4,1993,1,1,3231,9342,859,1,0,7721334.3
127,88182,74,1,1,82,35450,2,9,2014,1,1,2675,8678,417,1,8,8830006.4
128,36503,72,1,0,85,67715,8,9,2007,0,1,7926,4291,928,0,1,3659340.7
129,77913,46,1,1,15,99105,1,8,2007,0,1,9788,602,648,1,10,7801697.7
130,92335,37,0,0,67,52973,4,6,1999,0,1,4581,1459,434,0,3,9237950.9
131,74390,46,0,0,5,18817,10,6,2013,0,1,4233,5832,576,0,5,7441689.3
132,26223,35,1,0,39,53223,5,5,2014,0,1,732,6330,487,0,2,2630045.4
133,56191,41,1,1,8,15295,2,2,2005,0,1,428,8338,711,1,2,5625288.5
134,98661,12,1,0,20,51050,5,3,2006,0,1,8673,7873,127,0,8,9870323.6
135,94457,33,0,0,31,96284,7,4,2007,0,1,206,9491,755,0,0,9453238.7
136,16842,7,0,0,68,20912,2,10,2007,1,1,4754,169,495,1,7,1690854.7
137,91531,76,0,1,32,25412,7,4,2007,0,0,1684,549,122,1,8,9157941.7
138,53818,18,0,0,47,38929,3,8,1999,0,0,7677,139,309,0,10,5386139.9
139,79298,57,1,1,17,19649,7,5,2007,0,0,7166,8884,514,0,6,7935780.7
140,88822,24,1,0,13,41611,8,9,2008,1,0,4484,4910,418,0,4,8885730.8
141,43402,47,0,0,17,4737,3,10,1999,0,0,3447,4055,876,1,5,4344251.9
142,86139,41,1,0,15,98431,3,2,2015,1,0,8041,3477,264,0,0,8615540.1
143,94030,22,1,0,51,78116,5,8,2006,0,0,5679,4226,519,1,4,9404822.6
144,24511,35,0,0,5,79444,4,6,2000,1,1,3935,8572,377,0,9,2465183.0
145,3440,8,0,1,33,9107,7,2,2009,0,0,8177,9296,986,1,5,354630.9
146,55281,89,0,0,24,46451,3,6,2004,0,0,5688,6524,226,1,8,5531300.4
147,67509,38,1,0,64,40723,10,7,2016,0,0,4303,5800,314,1,6,6761569.6
148,65752,98,1,1,33,83501,9,5,2006,1,1,4631,6296,633,0,0,6583911.6
149,31492,64,0,0,64,27990,5,5,2000,0,0,8566,4977,747,1,5,3149910.0
150,27581,98,0,0,37,42634,5,3,2008,0,0,7653,4975,854,0,7,2763880.8
151,83730,50,0,0,8,53247,4,10,2006,1,1,2535,779,810,0,10,8374057.6
152,97452,93,1,0,44,29959,3,8,2000,1,0,8846,6149,213,0,8,9751753.2
153,4809,45,0,1,98,10660,5,9,1995,0,1,7058,5026,575,1,1,486824.5
154,13560,5,0,1,8,2084,1,8,2000,1,0,3525,8751,375,1,3,1361612.1
155,39007,25,1,0,8,35375,1,2,1999,1,1,9649,6304,783,0,8,3912800.9
156,38937,77,1,0,13,2867,2,3,2013,0,0,4594,1272,258,0,3,3901433.3
